date,acc_name_ch,nav_adj,acc_code
14/07/2014,富国天惠,4.931021,161005.OF
15/07/2014,富国天惠,4.915389,161005.OF
16/07/2014,富国天惠,4.894784,161005.OF
17/07/2014,富国天惠,4.866363,161005.OF
18/07/2014,富国天惠,4.88981,161005.OF
21/07/2014,富国天惠,4.893718,161005.OF
22/07/2014,富国天惠,4.942744,161005.OF
23/07/2014,富国天惠,4.937771,161005.OF
24/07/2014,富国天惠,5.02552,161005.OF
25/07/2014,富国天惠,5.047191,161005.OF
28/07/2014,富国天惠,5.109006,161005.OF
29/07/2014,富国天惠,5.116112,161005.OF
30/07/2014,富国天惠,5.123572,161005.OF
31/07/2014,富国天惠,5.173309,161005.OF
01/08/2014,富国天惠,5.122506,161005.OF
04/08/2014,富国天惠,5.220914,161005.OF
05/08/2014,富国天惠,5.231927,161005.OF
06/08/2014,富国天惠,5.253953,161005.OF
07/08/2014,富国天惠,5.213098,161005.OF
08/08/2014,富国天惠,5.237256,161005.OF
11/08/2014,富国天惠,5.286637,161005.OF
12/08/2014,富国天惠,5.297295,161005.OF
13/08/2014,富国天惠,5.33211,161005.OF
14/08/2014,富国天惠,5.300492,161005.OF
15/08/2014,富国天惠,5.323939,161005.OF
18/08/2014,富国天惠,5.360531,161005.OF
19/08/2014,富国天惠,5.392505,161005.OF
20/08/2014,富国天惠,5.390018,161005.OF
21/08/2014,富国天惠,5.379005,161005.OF
22/08/2014,富国天惠,5.39357,161005.OF
25/08/2014,富国天惠,5.366926,161005.OF
26/08/2014,富国天惠,5.29836,161005.OF
27/08/2014,富国天惠,5.322518,161005.OF
28/08/2014,富国天惠,5.29161,161005.OF
29/08/2014,富国天惠,5.340992,161005.OF
01/09/2014,富国天惠,5.382912,161005.OF
02/09/2014,富国天惠,5.417018,161005.OF
03/09/2014,富国天惠,5.456807,161005.OF
04/09/2014,富国天惠,5.480964,161005.OF
05/09/2014,富国天惠,5.49553,161005.OF
09/09/2014,富国天惠,5.50157,161005.OF
10/09/2014,富国天惠,5.499083,161005.OF
11/09/2014,富国天惠,5.48878,161005.OF
12/09/2014,富国天惠,5.568003,161005.OF
15/09/2014,富国天惠,5.573332,161005.OF
16/09/2014,富国天惠,5.41311,161005.OF
